0.316169	3.234647	
3.994668	6.858425	
7.551564	10.384920	
10.810532	12.902108	
13.692530	16.854215	
17.608156	20.879284	
21.621064	24.113931	
25.244842	27.664747	
28.284924	31.118280	
31.787098	33.708430	
34.571814	36.371542	
37.514613	39.654831	
40.262847	41.843690	
42.938120	46.768623	
48.203542	50.538325	
51.243624	54.040499	
54.757959	56.654970	
57.421071	58.989753	
59.768014	62.005515	
62.795936	65.361765	
66.030583	68.547771	
69.338193	72.049946	
72.779566	74.421210	
75.053547	77.461292	
78.543561	83.857625	
84.660206	90.752531	
91.457830	93.537246	
94.534393	96.066595	
96.905657	98.839149	
99.872777	101.806270	
102.450767	104.177534	
105.004436	108.129640	
108.883581	110.622508	
111.291326	112.008785	
112.823527	115.401517	
116.629710	118.295675	
119.207699	120.897985	
121.554643	123.962388	
124.813611	127.476723	
128.157701	130.723531	
131.416669	132.936710	
133.775773	136.037594	
136.730733	139.430326	
140.196426	143.856685	
